investor,commit,deal_size,invite,rating,int_rate,covenants,total_fees,fee_share,prior_tier,invite_tier
Goldman Sachs,Decline,1300,180,1,Market,1,51,1,Bookrunner,Bookrunner
Bank of America,Commit,1200,140,4,Below,1,145,39,Bookrunner,Participant
Wells Fargo,Decline,1000,100,7,Market,0,68,8.8,Bookrunner,Participant
Bank of America,Commit,1200,180,2,Market,1,53,7.6,Participant,Bookrunner
Bank of America,Decline,1100,120,4,Market,1,93,14.3,Bookrunner,Participant
Deutsche Bank,Commit,1100,230,9,Above,0,136,44.3,Bookrunner,Bookrunner
MUFG Union,Commit,900,170,2,Market,2,76,6.3,Participant,Bookrunner
Bank of America,Commit,800,150,1,Market,2,62,16.4,Bookrunner,Bookrunner
Deutsche Bank,Commit,1200,240,10,Market,0,151,52.4,Bookrunner,Bookrunner
Bank of America,Commit,700,90,3,Market,2,58,6.4,Bookrunner,Bookrunner
Wells Fargo,Commit,1600,170,2,Market,2,230,11.3,Participant,Participant
Bank of America,Commit,1200,140,2,Market,2,131,21.9,Bookrunner,Participant
MUFG Union,Commit,800,120,1,Below,2,99,21.6,Bookrunner,Bookrunner
Bank of America,Commit,2000,380,9,Market,0,189,22.7,Bookrunner,Bookrunner
Bank of America,Commit,700,120,2,Market,2,61,5.3,Bookrunner,Bookrunner
Bank of America,Commit,500,70,1,Market,3,80,14.7,Bookrunner,Bookrunner
Deutsche Bank,Decline,700,110,2,Market,2,49,4.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,1200,140,7,Market,1,182,33.1,Bookrunner,Participant
MUFG Union,Commit,1100,170,4,Market,0,32,4.3,Bookrunner,Bookrunner
MUFG Union,Commit,1000,220,8,Market,0,47,13.5,Bookrunner,Bookrunner
MUFG Union,Commit,1000,100,3,Market,2,73,5.3,Participant,Participant
MUFG Union,Commit,1100,220,4,Market,1,114,20,Bookrunner,Bookrunner
Deutsche Bank,Commit,900,120,2,Market,2,98,25.2,Bookrunner,Bookrunner
Bank of America,Commit,1600,240,9,Market,0,141,9.7,Bookrunner,Bookrunner
Bank of America,Commit,1300,190,6,Market,1,128,12.7,Bookrunner,Bookrunner
Bank of America,Commit,900,120,1,Market,2,82,15.8,Bookrunner,Bookrunner
Goldman Sachs,Commit,1300,220,10,Market,0,167,39.2,Bookrunner,Bookrunner
MUFG Union,Commit,1200,240,3,Above,2,285,10,Bookrunner,Bookrunner
Goldman Sachs,Commit,1600,220,8,Market,0,39,8.7,Bookrunner,Bookrunner
MUFG Union,Commit,1700,230,1,Market,2,107,24.4,Bookrunner,Bookrunner
Wells Fargo,Commit,300,50,2,Market,2,30,4.5,Bookrunner,Bookrunner
Deutsche Bank,Commit,1300,210,9,Market,0,51,8.4,Bookrunner,Bookrunner
Bank of America,Commit,1700,220,3,Market,2,293,73.3,Bookrunner,Bookrunner
Goldman Sachs,Commit,1100,180,1,Market,2,103,1.9,Participant,Bookrunner
Goldman Sachs,Commit,1500,150,4,Market,1,296,37.6,Bookrunner,Participant
Deutsche Bank,Decline,900,160,1,Market,2,63,5.9,Bookrunner,Bookrunner
Bank of America,Commit,1500,200,10,Market,0,221,31.8,Participant,Bookrunner
Wells Fargo,Commit,2000,390,8,Market,0,153,28.9,Bookrunner,Bookrunner
Wells Fargo,Commit,1600,260,9,Market,0,235,48.4,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,180,4,Market,1,126,5.5,Bookrunner,Bookrunner
Bank of America,Commit,800,140,2,Market,2,116,3.9,Bookrunner,Bookrunner
Deutsche Bank,Decline,1500,230,6,Market,1,79,5.3,Bookrunner,Bookrunner
Bank of America,Commit,2600,180,7,Below,0,374,51.2,Bookrunner,Participant
Deutsche Bank,Commit,1300,300,10,Market,0,150,38.1,Bookrunner,Bookrunner
Bank of America,Commit,1000,140,5,Market,1,89,12.5,Bookrunner,Bookrunner
Wells Fargo,Commit,1300,90,10,Market,0,188,32.3,Bookrunner,Participant
Goldman Sachs,Decline,1900,110,5,Below,1,125,15.3,Bookrunner,Participant
Goldman Sachs,Commit,1800,270,6,Market,1,209,0,Participant,Bookrunner
Bank of America,Commit,1500,200,3,Market,2,147,12.9,Bookrunner,Bookrunner
MUFG Union,Commit,400,90,3,Market,1,16,4.1,Bookrunner,Bookrunner
MUFG Union,Decline,600,30,1,Market,2,140,9.7,Bookrunner,Participant
Wells Fargo,Commit,1000,180,6,Market,1,121,16.6,Bookrunner,Bookrunner
MUFG Union,Decline,1700,160,2,Market,2,168,23.2,Bookrunner,Participant
Goldman Sachs,Commit,1200,150,4,Market,1,113,16.6,Bookrunner,Bookrunner
Wells Fargo,Commit,1000,210,4,Below,1,106,40.7,Bookrunner,Bookrunner
Goldman Sachs,Commit,900,120,2,Market,2,234,15.9,Bookrunner,Bookrunner
Bank of America,Commit,1700,270,6,Above,1,173,42.2,Bookrunner,Bookrunner
Deutsche Bank,Commit,600,70,2,Market,2,72,9.6,Bookrunner,Bookrunner
Deutsche Bank,Commit,700,90,2,Below,2,102,20.6,Bookrunner,Bookrunner
MUFG Union,Commit,900,130,4,Market,1,50,2.4,Bookrunner,Bookrunner
Goldman Sachs,Commit,800,110,3,Above,2,118,0,Participant,Bookrunner
Wells Fargo,Commit,700,70,2,Market,2,37,1.9,Participant,Participant
Wells Fargo,Commit,1400,230,8,Market,0,216,52.3,Bookrunner,Bookrunner
Deutsche Bank,Commit,1300,170,10,Market,0,167,23.7,Participant,Bookrunner
MUFG Union,Commit,600,100,2,Market,3,91,20.7,Bookrunner,Bookrunner
Deutsche Bank,Commit,200,30,2,Below,3,33,0,Participant,Bookrunner
Wells Fargo,Commit,1700,240,10,Below,0,140,24.2,Bookrunner,Bookrunner
MUFG Union,Commit,1200,270,1,Market,2,115,6.3,Bookrunner,Bookrunner
MUFG Union,Commit,1600,280,6,Market,1,149,38.1,Bookrunner,Bookrunner
Bank of America,Commit,1800,190,10,Market,0,212,40.9,Bookrunner,Participant
MUFG Union,Commit,200,30,4,Market,1,18,4.2,Bookrunner,Bookrunner
Goldman Sachs,Commit,500,110,2,Market,2,38,5.2,Bookrunner,Bookrunner
Bank of America,Commit,600,100,1,Below,1,30,6.8,Bookrunner,Bookrunner
Bank of America,Commit,900,170,3,Market,2,125,10.3,Bookrunner,Bookrunner
Wells Fargo,Commit,700,100,3,Market,2,58,0,Participant,Bookrunner
Bank of America,Commit,600,60,4,Market,1,80,20.5,Bookrunner,Participant
Goldman Sachs,Commit,2000,280,10,Market,0,244,1,Bookrunner,Bookrunner
Bank of America,Commit,600,100,2,Market,2,84,4.2,Bookrunner,Bookrunner
Wells Fargo,Commit,1500,190,2,Below,2,222,27.3,Bookrunner,Bookrunner
MUFG Union,Decline,1200,110,4,Market,1,141,7.1,Bookrunner,Participant
Deutsche Bank,Commit,800,130,3,Above,2,47,7.8,Participant,Bookrunner
Goldman Sachs,Decline,300,20,3,Above,2,24,3.7,Bookrunner,Participant
Bank of America,Commit,1400,300,7,Market,0,196,47.4,Participant,Bookrunner
MUFG Union,Commit,500,90,3,Market,1,14,3,Bookrunner,Bookrunner
Bank of America,Commit,2200,430,1,Market,2,136,10.1,Bookrunner,Bookrunner
Deutsche Bank,Decline,800,90,2,Market,2,73,4.1,Bookrunner,Participant
MUFG Union,Commit,1300,160,7,Market,0,119,29,Bookrunner,Bookrunner
MUFG Union,Commit,1400,200,6,Market,0,59,4.1,Bookrunner,Bookrunner
Goldman Sachs,Commit,1200,210,4,Market,1,141,23,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,260,4,Market,1,97,17.4,Bookrunner,Bookrunner
MUFG Union,Decline,1500,160,3,Market,2,156,16.2,Bookrunner,Participant
Deutsche Bank,Decline,900,80,1,Market,2,117,21.5,Bookrunner,Participant
Goldman Sachs,Commit,500,90,1,Market,2,50,12.7,Bookrunner,Bookrunner
Goldman Sachs,Commit,1000,170,5,Market,1,140,48.4,Bookrunner,Bookrunner
Goldman Sachs,Commit,900,120,1,Market,2,130,34.1,Bookrunner,Bookrunner
Goldman Sachs,Commit,1000,160,4,Market,1,89,12.3,Bookrunner,Bookrunner
Bank of America,Commit,1200,140,5,Market,1,170,21.3,Bookrunner,Participant
MUFG Union,Decline,1100,40,5,Market,1,90,8.6,Bookrunner,Participant
Deutsche Bank,Commit,1400,230,8,Market,0,216,59.6,Bookrunner,Bookrunner
Goldman Sachs,Commit,1000,190,8,Above,0,85,30.9,Bookrunner,Bookrunner
Goldman Sachs,Decline,400,80,1,Market,3,64,3.5,Bookrunner,Bookrunner
MUFG Union,Commit,1300,220,9,Market,0,139,25,Bookrunner,Bookrunner
Goldman Sachs,Commit,1000,210,7,Market,0,117,19.2,Bookrunner,Bookrunner
Bank of America,Commit,1200,220,7,Market,0,84,8.1,Bookrunner,Bookrunner
MUFG Union,Commit,800,120,3,Market,3,146,14,Participant,Bookrunner
Goldman Sachs,Commit,1400,170,5,Below,1,153,7.3,Bookrunner,Bookrunner
Deutsche Bank,Commit,600,130,2,Market,2,53,14.6,Bookrunner,Bookrunner
Deutsche Bank,Decline,900,160,1,Below,2,64,10,Bookrunner,Bookrunner
Goldman Sachs,Commit,1000,130,6,Market,2,191,44.7,Bookrunner,Bookrunner
Bank of America,Commit,800,170,2,Market,2,115,30,Bookrunner,Bookrunner
MUFG Union,Commit,900,110,1,Market,2,110,18.4,Bookrunner,Bookrunner
Bank of America,Commit,1600,310,3,Market,2,122,24.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,600,100,4,Market,1,63,7.5,Participant,Bookrunner
Goldman Sachs,Commit,400,50,1,Market,2,39,6,Bookrunner,Bookrunner
Bank of America,Decline,600,80,4,Below,1,71,2.1,Bookrunner,Bookrunner
Deutsche Bank,Commit,1800,380,4,Market,1,265,38.7,Bookrunner,Bookrunner
Bank of America,Commit,1200,160,1,Market,2,219,29.6,Bookrunner,Bookrunner
MUFG Union,Commit,1200,250,5,Market,1,69,3.3,Participant,Bookrunner
Bank of America,Commit,700,110,1,Market,3,109,4.7,Bookrunner,Bookrunner
Wells Fargo,Commit,800,150,1,Market,2,52,16,Bookrunner,Bookrunner
Goldman Sachs,Commit,800,120,1,Market,2,90,16.7,Participant,Bookrunner
Wells Fargo,Commit,1600,220,9,Market,0,95,2.1,Bookrunner,Bookrunner
Deutsche Bank,Commit,1200,190,5,Above,1,92,28.1,Bookrunner,Bookrunner
MUFG Union,Commit,2000,330,4,Market,1,240,14.4,Bookrunner,Bookrunner
Goldman Sachs,Commit,1500,220,7,Market,0,121,0.7,Bookrunner,Bookrunner
MUFG Union,Commit,700,140,2,Market,2,77,19.3,Bookrunner,Bookrunner
Wells Fargo,Commit,1100,100,10,Market,1,189,17,Bookrunner,Participant
Bank of America,Commit,900,140,3,Market,2,121,7.5,Bookrunner,Bookrunner
Wells Fargo,Commit,1500,200,1,Below,3,263,8.2,Bookrunner,Bookrunner
Goldman Sachs,Decline,1100,70,9,Market,0,155,22.5,Bookrunner,Participant
Deutsche Bank,Decline,800,80,1,Market,1,11,0.3,Participant,Participant
Deutsche Bank,Decline,600,70,1,Market,3,94,12.7,Bookrunner,Participant
MUFG Union,Commit,900,150,2,Market,2,106,28.9,Participant,Bookrunner
Goldman Sachs,Commit,800,130,3,Market,2,62,17.7,Bookrunner,Bookrunner
MUFG Union,Decline,1700,140,5,Above,1,90,16.4,Bookrunner,Participant
Deutsche Bank,Commit,1700,250,10,Below,0,95,13.7,Bookrunner,Bookrunner
Deutsche Bank,Decline,900,120,3,Below,2,114,6.3,Bookrunner,Bookrunner
Goldman Sachs,Commit,1600,220,10,Above,0,123,17.1,Bookrunner,Bookrunner
Deutsche Bank,Commit,1300,200,8,Market,1,210,0,Participant,Bookrunner
MUFG Union,Commit,1600,250,6,Market,2,264,75.8,Bookrunner,Bookrunner
Deutsche Bank,Commit,1500,250,4,Market,1,185,59.2,Bookrunner,Bookrunner
MUFG Union,Commit,1200,150,7,Market,1,182,38.4,Bookrunner,Bookrunner
Bank of America,Decline,200,30,2,Market,2,24,0.2,Bookrunner,Bookrunner
Wells Fargo,Commit,1500,350,10,Market,0,217,30.8,Bookrunner,Bookrunner
Goldman Sachs,Commit,900,200,1,Market,2,110,17.1,Bookrunner,Bookrunner
MUFG Union,Decline,1100,100,2,Market,2,113,14.6,Bookrunner,Participant
Deutsche Bank,Commit,300,60,1,Market,3,46,8.3,Bookrunner,Bookrunner
Deutsche Bank,Commit,1000,160,4,Market,1,93,28.2,Bookrunner,Bookrunner
MUFG Union,Decline,600,50,2,Below,2,63,11.3,Bookrunner,Participant
Bank of America,Commit,600,120,4,Market,1,80,1.2,Bookrunner,Bookrunner
Goldman Sachs,Commit,1100,160,9,Market,0,115,21.6,Participant,Bookrunner
Bank of America,Commit,1700,270,5,Above,1,187,51.4,Bookrunner,Bookrunner
Goldman Sachs,Commit,1300,290,8,Above,0,119,9.9,Participant,Bookrunner
MUFG Union,Commit,700,110,3,Market,2,43,7.2,Participant,Bookrunner
Deutsche Bank,Commit,1500,230,8,Market,0,128,30.5,Bookrunner,Bookrunner
Goldman Sachs,Decline,200,50,2,Market,2,11,1.3,Bookrunner,Bookrunner
MUFG Union,Decline,600,50,2,Market,2,63,3.6,Bookrunner,Participant
Goldman Sachs,Commit,1100,170,7,Market,1,195,23.8,Participant,Bookrunner
Goldman Sachs,Commit,1600,120,7,Above,0,288,46.9,Bookrunner,Participant
Goldman Sachs,Commit,1000,150,5,Market,1,89,11.6,Participant,Bookrunner
MUFG Union,Commit,1500,350,9,Market,0,163,48.4,Bookrunner,Bookrunner
Wells Fargo,Commit,800,90,1,Market,2,62,13.1,Bookrunner,Participant
Bank of America,Commit,700,130,2,Market,2,60,3.3,Participant,Bookrunner
Goldman Sachs,Commit,2000,260,5,Market,1,162,27.9,Bookrunner,Bookrunner
MUFG Union,Decline,1400,140,6,Market,1,148,22.3,Bookrunner,Participant
Goldman Sachs,Commit,700,90,3,Market,1,19,4.6,Bookrunner,Bookrunner
Wells Fargo,Commit,600,70,3,Market,3,91,18.4,Bookrunner,Bookrunner
Deutsche Bank,Decline,1700,200,8,Market,0,214,13.7,Bookrunner,Participant
Bank of America,Commit,400,50,3,Market,2,33,4.3,Bookrunner,Bookrunner
Deutsche Bank,Commit,2000,420,4,Market,1,240,2.6,Participant,Bookrunner
Deutsche Bank,Decline,500,40,2,Below,1,8,1.3,Bookrunner,Participant
Goldman Sachs,Commit,200,50,3,Market,2,56,26.7,Bookrunner,Bookrunner
Bank of America,Commit,1900,300,6,Market,0,62,4.7,Bookrunner,Bookrunner
Bank of America,Commit,2100,280,6,Market,1,155,35.2,Bookrunner,Bookrunner
Deutsche Bank,Commit,1000,200,9,Market,0,200,20.6,Bookrunner,Bookrunner
Goldman Sachs,Commit,1400,250,4,Market,1,181,29,Bookrunner,Bookrunner
Deutsche Bank,Decline,1100,160,7,Market,0,118,1.5,Bookrunner,Bookrunner
Bank of America,Commit,800,140,2,Market,2,73,2.8,Bookrunner,Bookrunner
Deutsche Bank,Commit,1000,140,3,Market,3,196,4.7,Bookrunner,Bookrunner
Bank of America,Commit,1400,210,7,Market,0,50,7.9,Participant,Bookrunner
Goldman Sachs,Decline,200,30,4,Market,1,23,2.6,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,180,3,Market,2,95,23.4,Bookrunner,Bookrunner
MUFG Union,Commit,1600,280,7,Below,0,357,66.4,Bookrunner,Bookrunner
Bank of America,Commit,1100,170,2,Market,1,31,4.3,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,210,7,Market,0,139,39.3,Bookrunner,Bookrunner
Deutsche Bank,Decline,1300,230,7,Market,0,117,1.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,1300,90,7,Market,1,208,29.5,Bookrunner,Participant
Goldman Sachs,Commit,1400,210,8,Market,0,142,3.7,Bookrunner,Bookrunner
Deutsche Bank,Decline,500,90,2,Market,2,54,3.1,Bookrunner,Bookrunner
Goldman Sachs,Decline,1300,150,1,Market,1,50,12.6,Bookrunner,Participant
Bank of America,Commit,1200,210,7,Above,1,236,44.1,Bookrunner,Bookrunner
Bank of America,Commit,1700,280,8,Above,1,300,75.9,Bookrunner,Bookrunner
Bank of America,Commit,1200,200,4,Market,1,71,10.4,Participant,Bookrunner
Deutsche Bank,Commit,200,30,2,Market,3,31,7.9,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,150,5,Market,1,97,0,Participant,Bookrunner
Wells Fargo,Commit,1000,130,9,Market,0,57,5.8,Bookrunner,Bookrunner
Wells Fargo,Commit,900,170,5,Market,2,150,19.8,Bookrunner,Bookrunner
Goldman Sachs,Decline,1200,110,5,Market,0,47,8.8,Bookrunner,Participant
Bank of America,Commit,300,30,2,Below,2,32,5.8,Participant,Participant
Bank of America,Commit,1200,140,5,Above,1,165,34.8,Bookrunner,Participant
Wells Fargo,Commit,1000,180,1,Market,2,124,34.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,700,130,1,Market,2,57,8.6,Participant,Bookrunner
Wells Fargo,Commit,700,100,2,Market,2,61,17.4,Bookrunner,Bookrunner
Goldman Sachs,Decline,300,20,3,Market,2,27,3.9,Bookrunner,Participant
Deutsche Bank,Commit,2100,310,4,Market,1,111,26.4,Bookrunner,Bookrunner
Wells Fargo,Commit,1500,240,3,Market,2,156,30.4,Participant,Bookrunner
Bank of America,Commit,700,120,3,Above,2,67,7.7,Bookrunner,Bookrunner
Wells Fargo,Commit,600,70,3,Above,1,28,2.6,Participant,Participant
Bank of America,Commit,500,110,5,Market,0,3,1.1,Participant,Bookrunner
MUFG Union,Commit,1100,190,10,Market,0,30,6.6,Bookrunner,Bookrunner
Goldman Sachs,Commit,1000,190,4,Market,1,89,20.8,Bookrunner,Bookrunner
Wells Fargo,Commit,1500,190,8,Market,1,235,19.5,Bookrunner,Bookrunner
Bank of America,Commit,900,140,3,Above,3,150,27.2,Bookrunner,Bookrunner
Wells Fargo,Decline,1200,110,6,Below,1,112,12.5,Bookrunner,Participant
Goldman Sachs,Commit,2200,390,3,Market,2,228,55.4,Bookrunner,Bookrunner
MUFG Union,Commit,700,100,3,Market,1,19,3,Bookrunner,Bookrunner
Deutsche Bank,Decline,800,160,3,Market,2,81,7.3,Bookrunner,Bookrunner
Bank of America,Commit,1600,270,6,Market,2,264,50.2,Bookrunner,Bookrunner
Bank of America,Decline,300,80,5,Market,1,33,1.9,Bookrunner,Bookrunner
MUFG Union,Commit,1100,240,2,Market,2,110,6.5,Bookrunner,Bookrunner
Bank of America,Commit,700,160,2,Market,2,70,21.5,Participant,Bookrunner
MUFG Union,Decline,300,30,1,Market,2,32,6.5,Bookrunner,Participant
Goldman Sachs,Commit,1100,230,7,Market,0,118,35.8,Bookrunner,Bookrunner
Deutsche Bank,Commit,700,130,3,Market,2,57,9,Bookrunner,Bookrunner
MUFG Union,Commit,1200,220,10,Market,0,98,29.6,Bookrunner,Bookrunner
Wells Fargo,Commit,1400,240,9,Market,0,152,38.9,Bookrunner,Bookrunner
Bank of America,Commit,700,130,2,Market,2,59,21.1,Bookrunner,Bookrunner
Wells Fargo,Commit,1500,270,3,Market,3,254,15.5,Bookrunner,Bookrunner
Deutsche Bank,Commit,1000,130,4,Above,1,107,20.4,Bookrunner,Bookrunner
Deutsche Bank,Decline,700,110,3,Below,2,77,4.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,200,30,2,Market,2,30,8.3,Participant,Bookrunner
Bank of America,Commit,700,110,2,Market,2,49,11.5,Bookrunner,Bookrunner
MUFG Union,Decline,800,80,3,Below,3,126,24.7,Bookrunner,Participant
Deutsche Bank,Commit,700,120,3,Market,3,118,0,Participant,Bookrunner
Goldman Sachs,Decline,600,50,2,Market,2,67,13.8,Bookrunner,Participant
Wells Fargo,Commit,800,130,2,Market,3,136,34.7,Bookrunner,Bookrunner
Deutsche Bank,Commit,800,120,3,Market,2,69,13.7,Bookrunner,Bookrunner
Wells Fargo,Commit,1300,280,8,Market,1,210,4.8,Bookrunner,Bookrunner
MUFG Union,Commit,1200,170,3,Market,2,147,24.4,Bookrunner,Bookrunner
MUFG Union,Decline,200,10,1,Market,2,13,0.2,Participant,Participant
MUFG Union,Commit,1300,270,2,Market,2,153,27.7,Bookrunner,Bookrunner
Deutsche Bank,Commit,600,90,2,Market,2,81,18.5,Bookrunner,Bookrunner
Wells Fargo,Commit,2600,510,2,Market,2,195,21.3,Bookrunner,Bookrunner
Bank of America,Commit,800,120,2,Market,2,105,24.2,Bookrunner,Bookrunner
Bank of America,Commit,600,90,1,Below,1,30,3.6,Participant,Bookrunner
Wells Fargo,Commit,1000,140,4,Market,1,99,14.6,Bookrunner,Bookrunner
Bank of America,Commit,1500,250,9,Market,0,216,23.8,Bookrunner,Bookrunner
Goldman Sachs,Commit,900,90,2,Market,2,84,16,Participant,Participant
MUFG Union,Decline,1800,170,8,Market,0,92,16.1,Bookrunner,Participant
Goldman Sachs,Decline,700,50,2,Market,2,37,3.1,Bookrunner,Participant
Wells Fargo,Commit,1100,180,8,Above,0,276,83.4,Bookrunner,Bookrunner
Bank of America,Commit,1000,120,5,Below,1,87,12.1,Bookrunner,Bookrunner
Goldman Sachs,Decline,300,50,5,Market,1,33,1.7,Bookrunner,Bookrunner
MUFG Union,Commit,1300,200,9,Market,0,191,49.7,Bookrunner,Bookrunner
MUFG Union,Commit,700,90,4,Above,1,37,1.1,Bookrunner,Bookrunner
Wells Fargo,Commit,1300,110,7,Market,0,181,28.6,Bookrunner,Participant
Goldman Sachs,Commit,2100,330,7,Market,0,212,42.6,Participant,Bookrunner
Bank of America,Commit,900,90,1,Market,2,61,11.1,Participant,Participant
Wells Fargo,Commit,400,40,3,Market,2,55,13.1,Bookrunner,Participant
Wells Fargo,Commit,700,70,1,Market,1,1,0.2,Bookrunner,Participant
Deutsche Bank,Decline,400,30,2,Market,1,7,1.1,Bookrunner,Participant
Goldman Sachs,Commit,300,50,1,Market,2,70,10.1,Participant,Bookrunner
Bank of America,Decline,1100,130,9,Market,0,103,14.2,Bookrunner,Participant
